,travel_trajectory_distance,time_spent_travelling,sleep_time,time_walking,time_stationary,time_in_vehicle,altitude,geolocation_x,geolocation_y,atmospheric_pressure,temperature,screen_brightness,night_light,noise_level,label
travel_trajectory_distance,1.0,0.6909850151152153,0.005409094955408092,-0.6550719694184352,-0.17562665459980653,0.6571467456776772,-0.006823987009241241,-0.08611699342740876,-0.028367834708176307,0.005219614241964622,-0.05274510563089666,0.007265242672469772,0.008969083360662482,0.0032717404594474536,0.023926301242079385
time_spent_travelling,0.6909850151152153,1.0,-0.01191424139591475,-0.8928267908470341,-0.23324231658820743,0.979813834344552,0.060544711464374706,-0.044369703093661984,0.059567863941972485,-0.06297302825579455,0.015504941398279471,0.04607383082897,0.05082915972578827,0.02475137532076919,0.1412576344055392
sleep_time,0.005409094955408092,-0.01191424139591475,1.0,-0.06850832966007983,0.04295253999228282,-0.04961052947889694,-0.07955296975017116,-0.1052868808491831,0.0356572951287015,0.08315287926255549,-0.01961461747312316,-0.04836959044254148,-0.050641470270568534,-0.01683231233246278,-0.14388843839240392
time_walking,-0.6550719694184352,-0.8928267908470341,-0.06850832966007983,1.0,-0.022964226005093482,-0.7874772910024054,-0.032895300922697754,0.058237694640293436,-0.01958149527859598,0.030527657156941983,0.025546929954501568,0.06463163262020416,0.0639625579398591,0.022421133428713255,0.18536963247701166
time_stationary,-0.17562665459980653,-0.23324231658820743,0.04295253999228282,-0.022964226005093482,1.0,-0.2962858644321358,0.022658829429079385,0.07178218531015837,-0.018401870965183136,-0.01768429205934825,0.0011123111945405652,-0.09024409315879864,-0.09628079575228063,-0.035466732714291474,-0.2683000499889845
time_in_vehicle,0.6571467456776772,0.979813834344552,-0.04961052947889694,-0.7874772910024054,-0.2962858644321358,1.0,0.07412875882441478,-0.030191969948129907,0.07719623837956015,-0.0784135678661106,0.03782742839231619,0.09316948175163554,0.09932101174230826,0.044588480825770056,0.27977315599147107
altitude,-0.006823987009241241,0.060544711464374706,-0.07955296975017116,-0.032895300922697754,0.022658829429079385,0.07412875882441478,1.0,0.37935402962280984,0.7012077066026073,-0.996522196197096,0.5478903862360036,0.013102633161785069,0.012985599688308381,0.009955178992173222,0.03556930696526801
geolocation_x,-0.08611699342740876,-0.044369703093661984,-0.1052868808491831,0.058237694640293436,0.07178218531015837,-0.030191969948129907,0.37935402962280984,1.0,0.058125370561426026,-0.38367660566537104,0.37046601072826457,0.004034908020502748,0.006614923960872053,0.004464461623212211,0.018625555244052523
geolocation_y,-0.028367834708176307,0.059567863941972485,0.0356572951287015,-0.01958149527859598,-0.018401870965183136,0.07719623837956015,0.7012077066026073,0.058125370561426026,1.0,-0.6980452007579758,0.5139280431465428,0.03152674477554502,0.030972642242411304,0.015112319391625979,0.08905974291537253
atmospheric_pressure,0.005219614241964622,-0.06297302825579455,0.08315287926255549,0.030527657156941983,-0.01768429205934825,-0.0784135678661106,-0.996522196197096,-0.38367660566537104,-0.6980452007579758,1.0,-0.5457650452986478,-0.01625181550389625,-0.015999617667182647,-0.01121611889366794,-0.04404607057848941
temperature,-0.05274510563089666,0.015504941398279471,-0.01961461747312316,0.025546929954501568,0.0011123111945405652,0.03782742839231619,0.5478903862360036,0.37046601072826457,0.5139280431465428,-0.5457650452986478,1.0,0.0981428063180863,-0.03360409326239562,0.06184228223792969,0.08666976699184131
screen_brightness,0.007265242672469772,0.04607383082897,-0.04836959044254148,0.06463163262020416,-0.09024409315879864,0.09316948175163554,0.013102633161785069,0.004034908020502748,0.03152674477554502,-0.01625181550389625,0.0981428063180863,1.0,-0.5227293238665137,0.5294321871775769,0.34990989559677643
night_light,0.008969083360662482,0.05082915972578827,-0.050641470270568534,0.0639625579398591,-0.09628079575228063,0.09932101174230826,0.012985599688308381,0.006614923960872053,0.030972642242411304,-0.015999617667182647,-0.03360409326239562,-0.5227293238665137,1.0,-0.3742661011262725,0.3422925302347308
noise_level,0.0032717404594474536,0.02475137532076919,-0.01683231233246278,0.022421133428713255,-0.035466732714291474,0.044588480825770056,0.009955178992173222,0.004464461623212211,0.015112319391625979,-0.01121611889366794,0.06184228223792969,0.5294321871775769,-0.3742661011262725,1.0,0.15610303659980995
label,0.023926301242079385,0.1412576344055392,-0.14388843839240392,0.18536963247701166,-0.2683000499889845,0.27977315599147107,0.03556930696526801,0.018625555244052523,0.08905974291537253,-0.04404607057848941,0.08666976699184131,0.34990989559677643,0.3422925302347308,0.15610303659980995,1.0
